ACCE_ABSORB_COST	Стоимость сочетания: %d
MISTS_ISLAND_MSG_02	%s захватывает %s!
MISTS_ISLAND_MSG_03	%s занимает %s!
MISTS_ISLAND_MSG_04	%s нападает на %s!
MISTS_ISLAND_MSG_05	%s улучшает %s до уровня %d!
MISTS_ISLAND_MSG_06	%s появляется на поле боя!
MISTS_ISLAND_QUESTION_01	Вы хотите выйти из Битвы пяти святынь?
MISTS_ISLAND_QUESTION_02	Вы хотите перенестись к недавно атакованной святыне? \n Стоимость: %s янг
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Империя-владелец: %s
MISTS_ISLAND_TOOLTIP_03	Уровень улучшения: +%d
MISTS_ISLAND_TOOLTIP_04	Усиление за захват: %s
MISTS_ISLAND_TOOLTIP_05	Захват святынь
MISTS_ISLAND_TOOLTIP_06	1. Чтобы занять святыню, ее сначала нужно уничтожить.
MISTS_ISLAND_TOOLTIP_07	2. Империя, у которой больше всего бойцов рядом со святыней через 1 минуту, захватывает ее.
MISTS_ISLAND_TOOLTIP_08	3. Через 3 минуты святыня появляется в цветах захватившей ее империи.
MISTS_ISLAND_TOOLTIP_09	4. Чем дольше святыня находится под контролем одной и той же империи, тем сложнее ее уничтожить.
MONETARY_UNIT0	янг
MONETARY_UNIT1	десять тысяч
MONETARY_UNIT2	сто миллионов
MONEY_INPUT_DIALOG_SELLPRICE	Продажная цена:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Это нельзя делать верхом на ездовом животном.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Вы сможете повысить уровень коня, когда наберете чемпионский уровень.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Вам нужны: %d ед. корма для коня и %d янг.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Хотите попробовать повысить уровень своего коня до %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Чтобы повысить уровень коня, вам нужны %d ед. корма для коня, %d Gaya и %d янг.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	У вас не хватает Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Не удалось повысить уровень коня
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Уровень коня повышен до %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	У вас не хватает янг или корма для коня.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	След. уровень: %d (макс. %d)
MOVE_CHANNEL_99	К0
MOVE_CHANNEL_CANCEL	Отменить
MOVE_CHANNEL_NOTICE	Вы подключены по каналу %d.
MOVE_CHANNEL_NOT_MOVE	Вы не можете сменить канал.
MOVE_CHANNEL_SELECT	ОК
MOVE_CHANNEL_TITLE	Выбор канала
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Вы не можешь перемещать предмет, когда открыта ваша лавка.
MUSIC_EMPTY_MUSIC_LIST	Без фоновой музыки.
MUSIC_METIN2_DEFAULT_THEMA	Метин 2-стандартная музыка
MUSIC_NOT_SELECT_MUSIC	Музыкальный файл не выбран.
NEEFD_REST	Сперва вы должны отдохнуть.
NOT_YET_SUPPORT	Не поддерживается.
OKEY_EVENT_MESSAGE_CARD_GAIN	Вы получаете набор(ы) карт Окей.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Вы получаете карты Окей.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Вы не можете играть в Окей, пока открыто другое окно.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	У вас не хватает предметов или золота для игры.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Вы не можете получить больше наборов карт Окей.
OPEN_THE_SPECIAL_ACTION_KIT	%s: добавлено к эмоциям.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Вы не можете активировать режим Гильдии, пока не являетесь её членом.
OPTION_PVPMODE_NOT_SUPPORT	Вы не можете выбрать режим PvP.
OPTION_PVPMODE_PROTECT	Чтобы использовать PvP Режим, нужно достигнуть хотя бы уровень %d.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Хотите выйти из боя?
OTHER_WORLD_EXCHANGE_COOLTIME	Повторите попытку позже.
OTHER_WORLD_EXCHANGE_FAIL	Вы ничего не получили за обмен.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Нельзя применять предметы больше максимально допустимого числа.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Обмен огоньков мертвых
OTHER_WORLD_GET_DEAD_SOUL	Вы получаете душу мертвеца x %d.
OTHER_WORLD_GET_HELL_GATE_KEY	Вы получаете ключ Асмодея x %d.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Вы получаете черное письмо x %d.
OTHER_WORLD_GET_REINCARNATION_WATER	Вы получаете живую воду x %d.
OTHER_WORLD_GET_WISP	Вы получаете огонек мертвых x %d.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Выберите посланника земли, с которым хотите сразиться.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Когда погибает любой персонаж, таймер подземелья уменьшается на 1 минуту.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Живая вода недоступна.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Убейте всех монстров за отведенное время.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Победите посланника ночи, не погибнув при этом.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Победите Асмодея, пока не истекло время.
PARTY_ANSWER_TIMEOVER	Приглашение отклонено.
PARTY_BONUS_ATTACKER	Показатель атаки: +%d	SA
PARTY_BONUS_BERSERKER	Скорость атаки: +%d	SA
PARTY_BONUS_BUFFER	Продолжительность действия навыков: +%d	SA
PARTY_BONUS_DEFENDER	Защита +%d%%	SA
PARTY_BONUS_EXP	Бонус к опыту: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Восстановление ХП за убийство +%d%%	SA
PARTY_BONUS_TANKER	Макс. ХП: +%d	SA
PARTY_BREAK_UP	Ликвидировать группу
PARTY_DO_YOU_ACCEPT	---LOCA::SPACE--хотел бы присоединиться к группе.
PARTY_DO_YOU_JOIN	 пригласил(а) вас в группу. Принять приглашение?
PARTY_EXP_DISTRIBUTION_MODE	Распределение опыта
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	В зависимости от уровня
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Участники группы с более высоким уровнем получают больше опыта.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	равномерно
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Все участники группы получают одинаковое количество опыта.
PARTY_HEAL_ALL_MEMBER	Восстановить всё
PARTY_INCREASE_AREA_150	Диапазон группы увеличен в 1,5 раза.	SNA
PARTY_INCREASE_AREA_200	Диапазон группы увеличен в 2 раза.	SNA
PARTY_LEAVE	Покинуть группу
PARTY_LONGTIME_BONUS_EXP	Бонус к опыту за долгую групповую игру: +%d%%	SA
PARTY_MATCH_CANCEL	Поиск группы для [%s] прекращен.
PARTY_MATCH_FAIL_FULL_MEMBER	В вашу группу больше нельзя набирать участников.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Вы не можете регистрироваться для этого подземелья.
PARTY_MATCH_FAIL_LEVEL	У вас слишком низкий уровень.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Участник %s не соответствует требованиям.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Сначала выберите подземелье.
PARTY_MATCH_FAIL_NOT_LEADER	Регистрировать группу может только лидер группы.
PARTY_MATCH_FAIL_NO_ITEM	У вас недостаточно %s.
PARTY_MATCH_SEARCHING	Поиск
PARTY_MATCH_START	Вы зарегистрировали свою группу для подземелья [%s]!
PARTY_MEMBER_OFFLINE	[оффлайн]
PARTY_RECALL_MEMBER	Позвать участника группы.
PARTY_REGEN_BONUS	Бонус за ХП- + МП-регенерация: +%d%%	SA
PARTY_REQUEST_DENIED	Ваше приглашение не принято.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ранги по Стражнику Юй
PARTY_RK_CATEGORY_CZ_COW	Ранги по Стражнику Чжоу
PARTY_RK_CATEGORY_CZ_DOG	Ранги по Стражнику Сюй
PARTY_RK_CATEGORY_CZ_DRAGON	Ранги по Стражнику Чжэнь
PARTY_RK_CATEGORY_CZ_HORSE	Ранги по Стражнику У
PARTY_RK_CATEGORY_CZ_MONKEY	Ранги по Стражнику Шэнь
PARTY_RK_CATEGORY_CZ_MOUSE	Ранги по Стражнику Ци
PARTY_RK_CATEGORY_CZ_PIG	Ранги по Стражнику Хай
PARTY_RK_CATEGORY_CZ_RABBIT	Ранги по Стражнику Мао
PARTY_RK_CATEGORY_CZ_SHEEP	Ранги по Стражнику Вэй
PARTY_RK_CATEGORY_CZ_SNAKE	Ранги по Стражнику Сы
PARTY_RK_CATEGORY_CZ_TIGER	Ранги по Стражнику Инь
PARTY_SET_ATTACKER	Определить Бойцом атаки.
PARTY_SET_BERSERKER	Определить  Берсеркером.
PARTY_SET_BUFFER	Определить  Блокирующим.
PARTY_SET_DEFENDER	Определить Защитником.
PARTY_SET_NORMAL	Отменить установку.
PARTY_SET_SKILL_MASTER	Определить  Мастером навыков.
PARTY_SET_TANKER	Определить Бойцом ближнего боя.
PARTY_SKILL_ATTACKER	Базовый показатель атаки Нападающий +%.0f
PARTY_SKILL_BERSERKER	Скорость атаки Берсеркер +%.0f
PARTY_SKILL_BUFFER	Длительность навыка Блокирущий +%.0f
PARTY_SKILL_DEFENDER	Защита в роли защитника +%.0f%%
PARTY_SKILL_HP_REGEN	ХП-регенерация +%.0f%%
PARTY_SKILL_PARTY_AREA	Диапазон группы +%d%%
PARTY_SKILL_SKILL_MASTER	Регенерация ХП как Мастеру навыка +%.0f%%
PARTY_SKILL_SP_REGEN	МП-регенерация +%.0f%%
PARTY_SKILL_TANKER	Максим. ХП Боец ближнего боя +%.0f
PARTY_SKILL_WARP	Вправе вызвать участника группы.
PASSIVE_ATTR_ADD_FAIL	Неудача! Бонусы не перенеслись на реликт души.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Реликт души больше не вместит бонусов.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Для этого нужен реликт души вашего класса.
PASSIVE_ATTR_ADD_SUCCESS	Успешно! Бонусы перенеслись на реликт души.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Реликт души уже заряжен.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Заряжать реликт души не нужно.
PASSIVE_ATTR_CHARGE_QUESTION	Хотите зарядить реликт души?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Время реликта полностью заряжено.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Во время заряда нельзя ничего делать.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Повторите попытку позже.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Для этого нужна подходящая душа.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Для этого нужен реликт души вашего класса.
PASSIVE_JOB_DESTROY_POPUP	Если сдать реликт души, он уничтожается. Вы уверены?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	После активации реликт нельзя будет передавать.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	При этом теряются предметы. Вы уверены?
PASSIVE_JOB_LEFT_TIME	Осталось: %s
PASSIVE_JOB_MAX_TIME	Макс. время реликта: %s
PASSWORD_TITLE	Пароль для склада
PET_ATTR_CHANGE_DIALOG_TEXT	Хотите изменить параметры своего питомца?\n При этом тратится предмет «Зачаровать питомца».\n Можно потерпеть неудачу
PET_ATTR_CHANGE_USE	Пока параметры питомца изменяются, это действие выполнять нельзя.
PET_ATTR_DETERMINE_TYPE1	Тип питомца 1: неуклюжий. Не слишком сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE2	Тип питомца 2: любопытный. Не слишком сильный.\nВерный спутник, чьи навыки растут со временем.
PET_ATTR_DETERMINE_TYPE3	Тип питомца 3: отважный. Достаточно сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE4	Тип питомца 4: храбрый. Достаточно сильный.\nВерный спутник, чьи навыки еще растут со временем.
PET_ATTR_DETERMINE_TYPE5	Тип питомца 5: безрассудный. Сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE6	Тип питомца 6: легендарный. Сильный.\nВерный спутник, чьи навыки еще больше растут со временем.
PET_ATTR_DETERMINE_TYPE7	Тип питомца 7: мифический. Очень сильный.\nСо временем раскроет весь свой потенциал.
PET_ATTR_DETERMINE_TYPE8	Тип питомца 8: призматический. Невероятно сильный.\nВерный спутник, на которого можно положиться.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Вы не можете кормить питомца, пока открыто окно улучшения.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Вы не можете изменять параметры мертвого питомца.
PET_CAN_NOT_EGG_ITEM_USE	Вы не можете открыть инкубатор во время торга, пока открыт ваш склад или лавка.
PET_CAN_NOT_FEED_SPLIT_ITEM	Вы не можете поместить в это окно разделенный предмет.
PET_CAN_NOT_FEED_TYPE	Так вы, к сожалению, не можете кормить питомца. Попробуйте еще раз с помощью другого действия.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Для того, чтобы обучить и повысить степень питомца до следующего уровня, уровень питомца должен быть %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Для того, чтобы обучить и повысить степень развития питомца, у него должно быть 100% опыта.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Ваш питомец уже достиг высшего уровня.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Вы не можете открыть лавку если призвали питомца.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Для того, чтобы обучить и повысить степень питомца до следующего уровня, питомцу должно быть %d дней.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Вы не можете призвать питомца так как его срок действия уже истек.
PET_CAN_NOT_USE_BAG	Вы не можете использвоть Транспортную клетку так как срок действия вашего питомца истек.
PET_EMPTY_SKILL_SLOT_USE_ITEM	У питомца нет навыков, которые можно сбросить.
PET_HATCHING_ACCEPT	Желаете назвать своего питомца "%s"?
PET_HATCHING_MONEY	Цена: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Когда у вас открыт инкубатор, вы не можете выполнять какие-либо взаимодействия.
PET_INFORMATION_STAGE1	Молодой
PET_INFORMATION_STAGE2	Дикий
PET_INFORMATION_STAGE3	Отважный
PET_INFORMATION_STAGE4	Героический
PET_INFO_EXP	Текущий опыт:
PET_INFO_ITEM_EXP	Текущие очки опыта предмета
PET_INFO_NEXT_EXP	Оставшийся опыт:
PET_INFO_NEXT_ITEM_EXP	Оставшиеся очки опыта предмета
PET_MSG_NOT_ENOUGH_MONEY	У вас недостаточно янг.
PET_NAME_CHANGE_ACCEPT	Хотите поменять имя питомца на «%s»?
PET_NAME_MIN	Введенное имя слишком коротко.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Нет питомца для оживления.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	У вас недостаточно материалов.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Навыки теперь доступны.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Сброс навыка(-ов) вашего питомца нельзя отменить.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Хотите продолжить?
PET_SKILL_LEARN_FAIL_CONDITIONS	Ваш питомец слишком молод или слишком низкой ступени. Навыки могут изучать только героические питомцы.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Желаете начать обучение с "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Время перезарядки: %d секунд
PET_SKILL_TOOLTIP_DURATION	Длительность: %d с.
PET_SKILL_TOOLTIP_FEATHER	Питомец активирует Легкую походку с вероятностью в %d%% на %.1f сек.\n Атака %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Как только ваши ХП снижаются до 20%%, вы получаете \n %d%% шанс на восстановление %d ХП.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Ваш персонаж становится непобедим с  %d%% шансом,\n если ваши ХП упадут ниже  10%%. \n Срок действия эффекта: %.1f секунд.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Мгновенно устраняет негативные эффекты такие как, отравление, замедление \n или кровотечение с %d%% шансом, если ваш персонаж поражен.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Повысить обучение героя на следующую ступень развития?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Затраты: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Защита
PET_TOOLTIP_HP	ХП
PET_TOOLTIP_LEVEL	Уровень
PET_TOOLTIP_LIFETIME_OVER	Время истекло
PET_TOOLTIP_SKILL_BONUS_VALUE	в процессе обучения героя
PET_TOOLTIP_SKILL_CUR_LEVEL	Уровень: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Следующий уровень: %d (макс. %d)
PET_TOOLTIP_SP	МП
PET_TOOLTIP_TRADABLE	Подлежит торгу
PET_TOOLTUP_SKILL	%s (Ступень %d)
PICK_ITEM_TITLE	Номер предмета
PICK_MONEY_TITLE	Стоимость
POPUP_NOTICE_CHECKBOX_TEXT	Не показывать сегодня больше
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	Общая стоимость выставленных вами на продажу предметов не может превышать допустимой.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	Общая стоимость выставленных вами на продажу предметов не может превышать допустимой.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	Это больше 999 вон. Сначала заберите деньги.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	Это больше 2 миллиардов янг. Сначала заберите деньги.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	Это нельзя открывать на этой карте.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Хотите закрыть личную лавку?
PREMIUM_PRIVATE_SHOP_DURATION	Длительность: %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	Лавка сейчас закрыта, потому что там идут изменения.
PREMIUM_PRIVATE_SHOP_NO_BUFF	Это кнопка для вашей личной премиум-лавки. Чтобы ее использовать, купите премиум-лавку в магазине.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Пароль
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_USE_ITEM	Хотите использовать предмет «Личная премиум-лавка»?
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	Вы не можете забрать деньги, потому что у вас больше 999 вон.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	Вы не можете забрать деньги, потому что у вас больше 2 миллиардов янг.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	Нет денег, чтобы их забрать.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	Вы внесли больше вон, чем можете снять.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	Вы внесли больше янг, чем можете снять.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	Вы не можете забрать деньги; вы ввели слишком большую сумму.
PRIVATESHOPSEARCH_ABLITY_POTION	Роса
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Тонкое сукно
PRIVATESHOPSEARCH_ARMOR	Снаряжение
PRIVATESHOPSEARCH_ARROW	Стрелы
PRIVATESHOPSEARCH_BELL	Колокольчики
PRIVATESHOPSEARCH_BELT	Пояса
PRIVATESHOPSEARCH_BLEND	Зелья
PRIVATESHOPSEARCH_BLOOD_PEARL	Алая жемчужина
PRIVATESHOPSEARCH_BLUE_PEARL	Голубая жемчужина
PRIVATESHOPSEARCH_BODY	Доспехи
PRIVATESHOPSEARCH_BOW	Луки
PRIVATESHOPSEARCH_BUYTIME	Желаете купить выбранный предмет?
PRIVATESHOPSEARCH_CLAW	Когти
PRIVATESHOPSEARCH_CLEAR_POTION	Эликсиры
PRIVATESHOPSEARCH_COSTUME	Костюмы
PRIVATESHOPSEARCH_COSTUMEBODY	Костюмы
PRIVATESHOPSEARCH_COSTUMEHAIR	Прическа
PRIVATESHOPSEARCH_COSTUME_ACCE	Шарфы
PRIVATESHOPSEARCH_COSTUME_MOUNT	Ездовое животное
PRIVATESHOPSEARCH_CRYSTAL	Кристалл
PRIVATESHOPSEARCH_DAGGER	Кинжалы
PRIVATESHOPSEARCH_DEAD	мертвый
PRIVATESHOPSEARCH_DETACHMENT	Книга Камня
PRIVATESHOPSEARCH_DIAMOND	Алмаз
PRIVATESHOPSEARCH_DS	Алхимия Камней Дракона
PRIVATESHOPSEARCH_DS_BLACK	Оникс
PRIVATESHOPSEARCH_DS_BLUE	Сапфир
PRIVATESHOPSEARCH_DS_GREEN	Нефрит
PRIVATESHOPSEARCH_DS_RED	Рубин
PRIVATESHOPSEARCH_DS_WHITE	Алмаз
PRIVATESHOPSEARCH_DS_YELLOW	Гранат
PRIVATESHOPSEARCH_EAR	Серьги
PRIVATESHOPSEARCH_FAN	Веера
PRIVATESHOPSEARCH_FISH	Рыба
PRIVATESHOPSEARCH_FOOTS	Обувь
PRIVATESHOPSEARCH_GEM	Самоцветы
PRIVATESHOPSEARCH_GIFTBOX	Подарочные ларцы
PRIVATESHOPSEARCH_HEAD	Шлемы
PRIVATESHOPSEARCH_LIVE	живой
PRIVATESHOPSEARCH_MATERIAL	Требуемые материалы
PRIVATESHOPSEARCH_METIN	Камни духа
PRIVATESHOPSEARCH_NECK	Ожерелья
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Без нужного узелка вы не можете покупать предметы.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Без нужного узелка вы не можете искать предметы.
PRIVATESHOPSEARCH_NODELAY_POTION	Предметы для ХП
PRIVATESHOPSEARCH_ORE	Руда
PRIVATESHOPSEARCH_PET	Система улучшения питомца
PRIVATESHOPSEARCH_PETAGG	Яйца питомцев
PRIVATESHOPSEARCH_PETSKILLBOOK	Книга навыков питомца
PRIVATESHOPSEARCH_PICK	Кирки
PRIVATESHOPSEARCH_POTION	Зелья
PRIVATESHOPSEARCH_QUEST	Задание
PRIVATESHOPSEARCH_QUIVER	Колчаны
PRIVATESHOPSEARCH_RESOURCE	Улучшение предметов
PRIVATESHOPSEARCH_ROD	Рыбная ловля
PRIVATESHOPSEARCH_SELECTITEM	Выберите предмет.
PRIVATESHOPSEARCH_SHIELD	Щиты
PRIVATESHOPSEARCH_SKILLBOOK	Книги навыков
PRIVATESHOPSEARCH_SKILLFORGET	Книга забвения
PRIVATESHOPSEARCH_SPECIAL	Прочее
PRIVATESHOPSEARCH_STONE	Энергетический фрагмент
PRIVATESHOPSEARCH_SWORD	Одноручные мечи
PRIVATESHOPSEARCH_TREASUREBOX	Ларцы
PRIVATESHOPSEARCH_TUNING	Свитки
PRIVATESHOPSEARCH_TWOSWORD	Двуручные мечи
PRIVATESHOPSEARCH_UNIQUE	Уникальный
PRIVATESHOPSEARCH_USEITEM	Расходные материалы
PRIVATESHOPSEARCH_USESPECIAL	Прочее
PRIVATESHOPSEARCH_WEAPON	Оружия
PRIVATESHOPSEARCH_WHITE_PEARL	Белая жемчужина
PRIVATESHOPSEARCH_WRIST	Браслеты
PRIVATE_SHOP_CANNOT_SELL_ITEM	Этот предмет нельзя купить в лавке.
PRIVATE_SHOP_CLOSE_QUESTION	Хотите закрыть лавку?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Имя лавки
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Цена
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_FOUND	Нет результатов.
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_SELECTED	Выберите предмет, чтобы выполнить поиск.
PVP_LEVEL0	по-рыцарски
PVP_LEVEL1	благородно
PVP_LEVEL2	хорошо
PVP_LEVEL3	дружелюбный
PVP_LEVEL4	нейтральный
PVP_LEVEL5	агрессивный
PVP_LEVEL6	коварный
PVP_LEVEL7	злобный
PVP_LEVEL8	жестокий
PVP_MODE_GUILD	PvP-Режим гильдии активирован
PVP_MODE_KILL	Свободное PvP активировано
PVP_MODE_NORMAL	PvP-мир активирован
PVP_MODE_PROTECT	PvP-защита активирована
PVP_MODE_REVENGE	PvP-враждебный активировано
PVP_OPTION_KILL	Свободный
PVP_OPTION_NORMAL	Мир
PVP_OPTION_PROTECT	Защита
PVP_OPTION_REVENGE	враждебный
PVP_TOURNAMENT_DO_NOT_AUTO	Во время PvP-турнира нельзя использовать автоатаку.
QUEST_APPEND	Новое задание  принято.
QUEST_HOUR	Час(ы)
QUEST_MIN	Мин.
QUEST_SEC	Сек.
QUEST_TIMEOVER	Время исстекло.
QUEST_UNLIMITED_TIME	Без ограничения времени
QUEST_ZEROSEC	0 сек.
QUICKSLOT_REGISTER_DISABLE_ITEM	Этот предмет не может быть добавлен в поле быстрого доступа.
RAMADAN_EVENT_BREAD_MAX_COUNT	У вас уже максимум хлебов.
RAMADAN_EVENT_FIG_MAX_COUNT	У вас уже максимум плодов благословения.
RAMADAN_EVENT_GET_BREAD	Вы получили 1 хлеб.
RAMADAN_EVENT_GET_FIG	Вы получили 1 плод благословения.
RAMADAN_EVENT_NOT_ENOUGH_BREAD	Вам нужно еще 10 хлебов.
RANKING	Ранг
RANKING_BOARD_MEMBER	Участники
RECEIVE_MESSAGE	%s отправил вам сообщение.
REFINE_COST	Затраты на улучшение: %d янг
REFINE_DESTROY_WARNING	Вероятность разрушения предмета при его улучшении.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Вы точно хотите улучшить предмет?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	В случае неудачи предмет будет разрушен. Хотите продолжить?
REFINE_DOWN_GRADE_WARNING	Вероятность потери некоторых свойств предмета при попытке его улучшить.
REFINE_DO_YOU_SEPARATE_METIN	Вы хотите удалить Камень духа?
REFINE_ELEMENT_CHANGE_TEXT	У %s теперь стихия %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Степень заклятия стихий понижена.
REFINE_ELEMENT_EXIST	У этого предмета уже есть другая стихия.
REFINE_ELEMENT_GRADE_MAX	Уже достигнута максимальная степень заклятия стихий.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Заклятие стихий доступно только для оружия +7 или выше.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Не хватает янг.
REFINE_ELEMENT_NOT_EXSIT	Нельзя использовать с этим предметом.
REFINE_ELEMENT_TEXT_DARK	Тьма +%d
REFINE_ELEMENT_TEXT_EARTH	Земля +%d
REFINE_ELEMENT_TEXT_ELECT	Молния +%d
REFINE_ELEMENT_TEXT_FIRE	Огонь +%d
REFINE_ELEMENT_TEXT_ICE	Лед +%d
REFINE_ELEMENT_TEXT_WIND	Ветер +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Заклятие стихий не удалось.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Заклятие стихий успешно!
REFINE_FAILURE	Да уж, не сработало. Мы не справились.
