ACCEPT	ОК
OPTION_TARGET_BOARD_NO_VIEW	Закрыть
OPTION_TARGET_BOARD_VIEW	Показывать
OPTION_TITLE	Настройки
OPTION_VIEW_CHAT	строка чата
OPTION_VIEW_CHAT_OFF	спрятать
OPTION_VIEW_CHAT_ON	показывать
OTHER_WORLD_COUNT_TEXT	Количество
OTHER_WORLD_DEAD_SOUL_TEXT	Душа мертвеца
OTHER_WORLD_DROP_DOWN_X1	x1
OTHER_WORLD_DROP_DOWN_X5	x5
OTHER_WORLD_DROP_DOWN_X10	x10
OTHER_WORLD_EVENT_TIME_TEXT	Дней до исчезновения того света
OTHER_WORLD_EVENT_TITLE	Путешествие на тот свет
OTHER_WORLD_EVE_EVENT_TIME_TEXT	Дней до открытия портала
OTHER_WORLD_EXCHANGE_MENU_TEXT	Обмен
OTHER_WORLD_EXCHANGE_TEXT	Обмен
OTHER_WORLD_EXIT_BUTTON	Уйти
OTHER_WORLD_HELL_GATE_KEY_TEXT	Ключ Асмодея
OTHER_WORLD_ITEM_NAME_TEXT	Предмет
OTHER_WORLD_LIFE_AND_DEATH_LIST_TEXT	Черное письмо
OTHER_WORLD_NEED_TEXT	Нужно
OTHER_WORLD_REINCARNATION_WATER_TEXT	Живая вода
OTHER_WORLD_SLASH_TEXT	/
OTHER_WORLD_WISP_BOARD_TITLE	Число огоньков мертвых
PARTY_MATCH_TEXT_DUNGEON_NAME	Подземелье
PARTY_MATCH_TEXT_DUNGEON_SELECT	Выберите подземелье
PARTY_MATCH_TEXT_ENTREE_LEVEL	Уровень: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Требования к уровню
PARTY_MATCH_TEXT_REQUEST_MATCH	Поиск
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Отменить
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Требования к предметам
PARTY_MEMBER_INFO_NAME	Имя участника группы
PASSIVE_ATTR_ACTIVATE_BUTTON	Активировать
PASSIVE_ATTR_UI_ADD_BUTTON	Добавить
PASSIVE_ATTR_UI_CHARGE_BUTTON	Зарядить
PASSIVE_ATTR_UI_TITLE	Реликтовый бонус
PASSWORD_DESC_1	Введите ваш пароль
PASSWORD_DESC_2	для того, чтобы открыть хранилище.
PASSWORD_DESC_3	Пароль уже изменен?
PASSWORD_DESC_4	Если нет, то ваш пароль: "000000".
PASSWORD_DESC_5	Поменяйте пароль на складе.
PASSWORD_TITLE	Сохраненный пароль
PET_AGE_TEXT	Возраст питомца
PET_ATTR_CHANGE_ITEM_TEXT	Зачаровать питомца
PET_ATTR_CHANGE_TITLE	Изменить тип питомца
PET_ATTR_CONFIRMATION	Изменить
PET_ATTR_DETERMINE_TITLE	Новый тип питомца
PET_ATTR_OK	Закрыть
PET_CHANGE_TEXT	Питомец
PET_FEED_TITLE	Кормить
PET_FFED_BUTTON_TEXT	Кормить
PET_HATCHING_BUTTON	Вывести
PET_HATCHING_NIK	Имя питомца
PET_HATCHING_WINDOW_TITLE	Инкубатор
PET_INFORMATION_ABILITIES	Бонусы
PET_INFORMATION_AGE	Возраст
PET_INFORMATION_COSTUME_BONUS	Бонус костюма
PET_INFORMATION_DEFENCE	Защита
PET_INFORMATION_EVOL_BUTTON	Развитие
PET_INFORMATION_EXP	Опыт
PET_INFORMATION_EXP_BUTTON	Очки опыта предмета
PET_INFORMATION_HP	ХП
PET_INFORMATION_LEVEL	Уровень
PET_INFORMATION_LIFE	Срок действия
PET_INFORMATION_LIFETIME_BUTTON	Кормить
PET_INFORMATION_LIFE_TIME	Часы
PET_INFORMATION_SKILL	Навык
PET_INFORMATION_SP	МП
PET_INFORMATION_TITLE	Питомец
PET_NAME_CHANGE_BUTTON	Изменить
PET_NAME_CHANGE_WINDOW_TITLE	Изменить имя
PET_REVIVE_BUTTON	Оживить
PET_REVIVE_CANCEL_BUTTON	Прервать
PET_REVIVE_MATERIAL_TITLE	Материал
PET_REVIVE_REUSLT_TEXT	Результат
PET_REVIVE_TARGET	Питомец для оживления
PET_REVIVE_TITLE	Оживить питомца
PICK_MONEY_TITLE	Делить
POPUP_NOTICE_BUTTON_TEXT	Что нового?
PREMIUM_PRIVATE_SHOP	Личная премиум-лавка
PREMIUM_PRIVATE_SHOP_ITEM_TAKE_OUT	Забрать предмет
PREMIUM_PRIVATE_SHOP_MODIFY_BUTTON	Изменить
PREMIUM_PRIVATE_SHOP_NOTICE_MODIFY	Личная лавка сейчас изменяется.
PREMIUM_PRIVATE_SHOP_NOTICE_NONE	Личная лавка сейчас закрыта.
PREMIUM_PRIVATE_SHOP_NOTICE_NO_TICKET	Нет билетов
PREMIUM_PRIVATE_SHOP_NOTICE_OPEN	Личная лавка открыта.
PREMIUM_PRIVATE_SHOP_REMAIN_TEXT_ICON	Оставшееся время
PREMIUM_PRIVATE_SHOP_REOPEN_BUTTON	Открыть
PREMIUM_PRIVATE_SHOP_SHOP_CLOSE_BUTTON	Закрыть лавку
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_BUTTON	Забрать
PREMIUM_PRIVATE_SHOP_TAX_ADJUSTMENT_DIALOG_TITLE	Забрать
PREMIUM_PRIVATE_SHOP_TITLE	Личная лавка
PREMIUM_PRIVATE_SHOP_WON_ICON	Вон (можно забрать)
PREMIUM_PRIVATE_SHOP_YANG_ICON	Янг (можно забрать)
PRIVATESHOPSEARCH_BUY	Купить
PRIVATESHOPSEARCH_COUNT	Количество
PRIVATESHOPSEARCH_ITEMNAME	Название
PRIVATESHOPSEARCH_ITEMTYPE	Предметы
PRIVATESHOPSEARCH_JOB	Класс
PRIVATESHOPSEARCH_LEVEL	Уровень
PRIVATESHOPSEARCH_PRICE	Цена
PRIVATESHOPSEARCH_REFINE	Уровень предмета
PRIVATESHOPSEARCH_SEARCH	Поиск
PRIVATESHOPSEARCH_SEARCH_BAR	Поиск
PRIVATESHOPSEARCH_SELECT	Выбрать
PRIVATESHOPSEARCH_SELLER	Продавец
PRIVATE_SHOP_CLOSE_BUTTON	Закрыть лавку
PRIVATE_SHOP_NAME	Имя лавки
PRIVATE_SHOP_SEARCH_BY_VNUM_BOARD_TITLE	Все результаты
PRIVATE_SHOP_SEARCH_BY_VNUM_CANCEL_BUTTON_TEXT	Прервать
PRIVATE_SHOP_SEARCH_BY_VNUM_SEARCH_BUTTON_TEXT	Поиск
PRIVATE_SHOP_TITLE	Открыть частную лавку
QUEST_UI_TEXT_COLLECTION	Задания биолога
QUEST_UI_TEXT_DAILY	Задание дня
QUEST_UI_TEXT_EVENT	Задания событий
QUEST_UI_TEXT_LEVELUP	Задание охоты
QUEST_UI_TEXT_MAIN	Основные задания
QUEST_UI_TEXT_SCROLL	Задания из книг миссий
QUEST_UI_TEXT_SUB	Доп. задания
QUEST_UI_TEXT_SYSTEM	Игровые задания
RAMADAN_EVENT_TITL	Событие к Рамадану
REFINE_COST	Затраты  на улучшение: 0 янг
REFINE_ELEMENT_CHANGE_COST_TITLE	Стоимость
REFINE_ELEMENT_CHANGE_DARK	Тьма
REFINE_ELEMENT_CHANGE_EARTH	Земля
REFINE_ELEMENT_CHANGE_ELECT	Молния
REFINE_ELEMENT_CHANGE_FIRE	Огонь
REFINE_ELEMENT_CHANGE_ICE	Лед
REFINE_ELEMENT_CHANGE_TITLE	Сменить стихию
REFINE_ELEMENT_CHANGE_WIND	Ветер
REFINE_ELEMENT_DOWNGRADE_TITLE	Понижение
REFINE_ELEMENT_UPGRADE_TITLE	Улучшение
REFINE_INFO	Вероятность успешного улучшения: 100%
REFINE_MONEY	Плата за улучшение
REFINE_SELECT	Улучшение
REFINE_TTILE	Улучшения
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Сдаться
RESTART_HERE	Начать заново здесь
RESTART_IMMEDIATE	Реинкарнация
RESTART_TOWN	Начать заново в городе
ROULETTE_SPECIAL_TITLE	Награды (%s)
ROULETTE_SPIN_TEXT1	ВРАЩАТЬ
ROULETTE_SPIN_TEXT2	50 душ
ROULETTE_SPIN_TEXT3	250 000 янг
ROULETTE_TITLE	Награды
SAFE_CHANGE_PASSWORD	сменить пароль
SAFE_TITLE	Хранилище
SELECT_ATTR_CHANGED	Новое
SELECT_ATTR_CURRENT	Старое
SELECT_ATTR_SELECT	Выбрать
SELECT_ATTR_TITLE	Зачаровать предмет+
SELECT_ATT_GRADE	Сила
SELECT_CREATE	Создать
SELECT_DELETE	Удалить
SELECT_DEX_GRADE	Подвижность
SELECT_EMPIRE_NAME	Имя Империи
SELECT_EXIT	Выход
SELECT_HP	Здоровье
SELECT_LEVEL	Уровень
SELECT_METIN_STONE_TITLE	Выбрать Камень духа
SELECT_NAME	Имя
SELECT_NO_GUILD	Нет гильдии
SELECT_ORIGIN_STAT	Исходная точка
SELECT_PLAYTIME	Игровое время
SELECT_SELECT	Старт
SELECT_SP	Интеллект
SELECT_SUNGMA_STAT	Воля Сунг Ма
SELECT_TITLE	Выбрать звание
SHOP_BUY	Купить
SHOP_SELL	продать
SHOP_TITLE	Магазин
SKILL_SUPPORT_TITLE	Стандартные навыки
SNOWFLAKE_STICK_EVENT_EXCHANGE_BUTTON_TEXT	Обмен
SNOWFLAKE_STICK_EVENT_EXCHANGE_PAGE_SUBTITLE_1	Меняйте на 1 снежную волшебную палочку
SNOWFLAKE_STICK_EVENT_EXCHANGE_PAGE_SUBTITLE_2	Можно поменять 3 раза за время события.
SNOWFLAKE_STICK_EVENT_EXCHANGE_REWARD_BUTTON_TEXT	Награды
SNOWFLAKE_STICK_EVENT_TITLE	Событие «Снежинки»
SNOWFLAKE_STICK_EVENT_TOOLTIP_HELP_BUTTON_1	Можно менять 5 раз за 24 часа. Осталось до сброса:
SNOWFLAKE_STICK_EVENT_TOOLTIP_HELP_BUTTON_2	Можно менять 5 раз за 24 часа. Осталось до сброса: -
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW	Соберите 12 снежков и 12 веток снеговика и поменяйте их на снежную волшебную палочку.
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW_MOUNT	Можно обменять на 15 снежных волшебных палочек.
SNOWFLAKE_STICK_EVENT_TOOLTIP_RIGHT_ARROW_PET	Можно обменять на 15 снежных волшебных палочек.
SNOWFLAKE_STICK_EVENT_TOOLTIP_SNOW_BALL	Вы можете получить снежки, побеждая монстров, пока действуют Снежные чары.
SNOWFLAKE_STICK_EVENT_TOOLTIP_TITLE_SNOW_BALL	Снежок
SNOWFLAKE_STICK_EVENT_TOOLTIP_TITLE_TREE_BRANCH	Ветка снеговика
SNOWFLAKE_STICK_EVENT_TOOLTIP_TREE_BRANCH	Вы можете получить ветки снеговика, побеждая монстров, пока действуют Снежные чары.
STEP	Чистота
STEP_SELECT	Чистота
STRENGTH	Усиление
STRENGTH_SELECT	Уровень
STRUCTURE_VIEW_MODE	Украшение
STRUCTURE_VIEW_TYPE_STRUCTURE	Скрыть
SUNGHAHEE_TOWER_CLEAR	Успех
SUNGMAHEE_GATE_ACHIEV_COUNT	Число трофеев
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_GET_REWARD	Получите награду
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_REWARD_LIST	Список наград
SUNGMAHEE_GATE_TITLE	Портал вторжения Сунг Ма
SUNGMAHEE_GATE_TITLE_ACHIEV	Трофеи
SUNGMAHEE_GATE_TITLE_REWARD	Трофеи в награду
SUNGMAHEE_TOWER_DUNGEON_ENTER_QUESTION	Хотите войти на %d этаж?
SUNGMAHEE_TOWER_DUNGEON_EXIT_QUESTION	Хотите прервать испытание?
SUNGMAHEE_TOWER_ELEMENT_ALL	Все
SUNGMAHEE_TOWER_ELEMENT_DARK	Тьма
SUNGMAHEE_TOWER_ELEMENT_EARTH	Земля
SUNGMAHEE_TOWER_ELEMENT_ELEC	Молния
SUNGMAHEE_TOWER_ELEMENT_FIRE	Огонь
SUNGMAHEE_TOWER_ELEMENT_ICE	Лед
SUNGMAHEE_TOWER_ELEMENT_TITLE	Стихии на этаже
SUNGMAHEE_TOWER_ELEMENT_WIND	Ветер
SUNGMAHEE_TOWER_ENTER_BUTTON	Войти
SUNGMAHEE_TOWER_ENTER_TITLE	Адская башня Сунг Махи
SUNGMAHEE_TOWER_EXIT_BUTTON	Выйти
SUNGMAHEE_TOWER_INFO_BOARD_FLOOR	Э%d
SUNGMAHEE_TOWER_MISSION_TYPE_ALL_KILL_MOB_PAUSE_SPECIAL	Одолейте всех монстров и камни демонов!
SUNGMAHEE_TOWER_MISSION_TYPE_BOSS	Убейте всех монстров!
SUNGMAHEE_TOWER_MISSION_TYPE_CHESS_FAIL	Убейте всех монстров!
SUNGMAHEE_TOWER_MISSION_TYPE_COMPLETE	Задание выполнено
SUNGMAHEE_TOWER_MISSION_TYPE_CORRECT_ITEM_USE	Найдите ключ и сбегите!
SUNGMAHEE_TOWER_MISSION_TYPE_DEBUFF_RELEASE	Убейте всех монстров!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE	Уничтожьте проклятый метин!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE_FAIL	Убейте всех монстров!
SUNGMAHEE_TOWER_MISSION_TYPE_MONSTER_CHESS	Убейте пару врагов, которые не подходят друг другу!
SUNGMAHEE_TOWER_MISSION_TYPE_NORMAL	Убейте всех монстров!
SUNGMAHEE_TOWER_MISSION_TYPE_SEAL_RELEASE	Сломайте печать камнем печати!
SUNGMAHEE_TOWER_MISSION_TYPE_STAIRS	Взойдите по ступеням на следующий этаж!
SUNGMAHEE_TOWER_MISSION_TYPE_SURVIVE	Уклонитесь от всех атак!
SUNGMAHEE_TOWER_MY_RANK_TITLE	Ранг
SUNGMAHEE_TOWER_REWARD_INFO_TITLE	Награды
SYSTEMOPTION_TITLE	Системные настройки
SYSTEM_CHANGE	Сменить персонаж
SYSTEM_EXIT	Выйти из игры
SYSTEM_HELP	Помощь
SYSTEM_LOGOUT	Выход
SYSTEM_MALL	Магазин предметов
SYSTEM_MOVE_CHANNEL	Сменить канал
SYSTEM_OPTION	Системные настройки
TASKBAR_CHARACTER	Персонаж  [C/V/B/N]
TASKBAR_CHAT	Окно чата [Enter]
TASKBAR_DISABLE	Неактивно
TASKBAR_DRAGON_SOUL	Алхимия Камней Дракона
TASKBAR_EXPAND	Увеличить окно
TASKBAR_INVENTORY	Инвентарь [I]
TASKBAR_MESSENGER	Друзья [Alt+M]
TASKBAR_MONEY_EXPAND	Имущество
TASKBAR_NEXT_QUICKSLOT	Следующ. панель быстрого доступа [ Shift+число, Alt]
TASKBAR_PET_INFO	Информация о питомце
TASKBAR_PREV_QUICKSLOT	Предыдущ. панель быстрого доступа [Shift+число]
TASKBAR_SYSTEM	Параметры  [ESC]
TOTAL_RANKING	Общий рейтинг
VALENTINE_DAY_EVENT_CURRENT_COUNT	Доступное количество
VALENTINE_DAY_EVENT_MAX_COUNT	Макс. количество
VALENTINE_DAY_EVENT_TITLE	Обзор события к Дню св. Валентина
VALENTINE_DAY_EVENT_USE_BUTTON	Применить
VALENTINE_DAY_EVENT_WRAP_BUTTON	Упаковать
WARP_MI_LABEL	К святыне под атакой
WEEKLY_RANKING	Еженедельный рейтинг
WHISPER_BAN	Блокировать
WHISPER_NAME	Шептать
WHISPER_REPORT	
WHISPER_SEND	Отправить
WORLD_BOSS_BREAK_TIME_TEXT	Время перезарядки
WORLD_BOSS_MIN_DAMAGE_TEXT	Нужный минимальный урон
WORLD_BOSS_RANK	Рейтинг по боссу
WORLD_BOSS_RANKING_BUTTON	Рейтинг
WORLD_BOSS_RANK_EMPIRE	Империя
WORLD_BOSS_RANK_GUILD_NAME	Гильдия
WORLD_BOSS_RANK_NAME	Имя
WORLD_BOSS_RANK_RANK	Ранг
WORLD_BOSS_RANK_TIER	Уровень добычи
WORLD_BOSS_RUN_TIME_TEXT	Время сражения
WORLD_BOSS_TITLE	Мировой босс побежден
WORLD_BOSS_TOTAL_DAMAGE_TEXT	Общий урон
WORLD_BUSS_REWARD_BUTTON	Забрать награду
YES	да
ZONE_MAP	Большая карта
